,weight_2022,pitax_2022,total_gross_income_2022,weight_ref_2022,pitax_ref_2022,total_gross_income_ref_2022,weight_ref_2023,pitax_ref_2023,total_gross_income_ref_2023,weight_ref_2024,pitax_ref_2024,total_gross_income_ref_2024,weight_ref_2025,pitax_ref_2025,total_gross_income_ref_2025,weight_ref_2026,pitax_ref_2026,total_gross_income_ref_2026,weight_ref_2027,pitax_ref_2027,total_gross_income_ref_2027,ETR,ETR_ref
82,"9,475.5481","6,706.0000","34,112.0000","9,475.5481","6,706.0000","34,112.0000","9,475.5481","6,940.0000","37,099.0000","9,475.5481","7,491.0000","40,072.0000","9,475.5481","8,124.0000","43,551.0000","9,475.5481","8,814.0000","47,238.0000","9,475.5481","9,569.0000","51,215.0000",0.1966,0.1966
83,"9,475.5481","7,016.0000","35,693.0000","9,475.5481","7,016.0000","35,693.0000","9,475.5481","7,259.0000","38,819.0000","9,475.5481","7,836.0000","41,929.0000","9,475.5481","8,501.0000","45,569.0000","9,475.5481","9,229.0000","49,427.0000","9,475.5481","10,012.0000","53,588.0000",0.1966,0.1966
84,"9,474.4074","7,264.0000","37,405.0000","9,474.4074","7,264.0000","37,405.0000","9,474.4074","7,518.0000","40,681.0000","9,474.4074","8,117.0000","43,941.0000","9,474.4074","8,813.0000","47,755.0000","9,474.4074","9,568.0000","51,799.0000","9,474.4074","10,378.0000","56,159.0000",0.1942,0.1942
85,"9,474.4074","7,642.0000","39,276.0000","9,474.4074","7,642.0000","39,276.0000","9,474.4074","7,912.0000","42,716.0000","9,474.4074","8,536.0000","46,139.0000","9,474.4074","9,267.0000","50,144.0000","9,474.4074","10,071.0000","54,390.0000","9,474.4074","10,926.0000","58,968.0000",0.1946,0.1946
86,"9,476.6888","8,009.0000","41,473.0000","9,476.6888","8,009.0000","41,473.0000","9,476.6888","8,235.0000","45,106.0000","9,476.6888","8,858.0000","48,720.0000","9,476.6888","9,574.0000","52,949.0000","9,476.6888","10,388.0000","57,433.0000","9,476.6888","11,276.0000","62,267.0000",0.1931,0.1931
87,"9,474.4074","8,429.0000","43,937.0000","9,474.4074","8,429.0000","43,937.0000","9,474.4074","8,644.0000","47,785.0000","9,474.4074","9,283.0000","51,615.0000","9,474.4074","10,025.0000","56,095.0000","9,474.4074","10,885.0000","60,844.0000","9,474.4074","11,814.0000","65,966.0000",0.1918,0.1918
88,"9,475.5481","8,882.0000","46,654.0000","9,475.5481","8,882.0000","46,654.0000","9,475.5481","9,142.0000","50,741.0000","9,475.5481","9,836.0000","54,807.0000","9,475.5481","10,624.0000","59,564.0000","9,475.5481","11,532.0000","64,608.0000","9,475.5481","12,516.0000","70,046.0000",0.1904,0.1904
89,"9,474.4074","9,447.0000","49,754.0000","9,474.4074","9,447.0000","49,754.0000","9,474.4074","9,711.0000","54,111.0000","9,474.4074","10,449.0000","58,448.0000","9,474.4074","11,311.0000","63,521.0000","9,474.4074","12,285.0000","68,900.0000","9,474.4074","13,340.0000","74,699.0000",0.1899,0.1899
90,"9,475.5481","10,051.0000","53,499.0000","9,475.5481","10,051.0000","53,499.0000","9,475.5481","10,316.0000","58,185.0000","9,475.5481","11,104.0000","62,848.0000","9,475.5481","12,032.0000","68,303.0000","9,475.5481","13,067.0000","74,086.0000","9,475.5481","14,204.0000","80,323.0000",0.1879,0.1879
91,"9,474.4074","10,709.0000","57,839.0000","9,474.4074","10,709.0000","57,839.0000","9,474.4074","11,018.0000","62,904.0000","9,474.4074","11,872.0000","67,946.0000","9,474.4074","12,853.0000","73,843.0000","9,474.4074","13,968.0000","80,096.0000","9,474.4074","15,192.0000","86,838.0000",0.1852,0.1852
92,"9,475.5481","11,388.0000","63,270.0000","9,475.5481","11,388.0000","63,270.0000","9,475.5481","11,634.0000","68,811.0000","9,475.5481","12,460.0000","74,325.0000","9,475.5481","13,425.0000","80,777.0000","9,475.5481","14,609.0000","87,616.0000","9,475.5481","15,892.0000","94,991.0000",0.1800,0.1800
93,"9,474.4074","12,399.0000","70,132.0000","9,474.4074","12,399.0000","70,132.0000","9,474.4074","12,662.0000","76,274.0000","9,474.4074","13,585.0000","82,387.0000","9,474.4074","14,674.0000","89,538.0000","9,474.4074","15,971.0000","97,119.0000","9,474.4074","17,382.0000","105,294.0000",0.1768,0.1768
94,"9,475.5481","13,701.0000","78,744.0000","9,475.5481","13,701.0000","78,744.0000","9,475.5481","13,964.0000","85,640.0000","9,475.5481","14,994.0000","92,504.0000","9,475.5481","16,178.0000","100,533.0000","9,475.5481","17,622.0000","109,045.0000","9,475.5481","19,190.0000","118,224.0000",0.1740,0.1740
95,"9,474.4074","15,030.0000","90,212.0000","9,474.4074","15,030.0000","90,212.0000","9,474.4074","15,257.0000","98,113.0000","9,474.4074","16,327.0000","105,975.0000","9,474.4074","17,580.0000","115,174.0000","9,474.4074","19,138.0000","124,926.0000","9,474.4074","20,910.0000","135,441.0000",0.1666,0.1666
96,"9,475.5481","16,979.0000","107,197.0000","9,475.5481","16,979.0000","107,197.0000","9,475.5481","17,189.0000","116,586.0000","9,475.5481","18,380.0000","125,929.0000","9,475.5481","19,736.0000","136,860.0000","9,475.5481","21,534.0000","148,448.0000","9,475.5481","23,538.0000","160,943.0000",0.1584,0.1584
97,"9,474.4074","19,582.0000","134,731.0000","9,474.4074","19,582.0000","134,731.0000","9,474.4074","19,720.0000","146,531.0000","9,474.4074","21,121.0000","158,274.0000","9,474.4074","22,628.0000","172,012.0000","9,474.4074","24,817.0000","186,576.0000","9,474.4074","27,270.0000","202,281.0000",0.1453,0.1453
98,"9,475.5481","24,421.0000","186,203.0000","9,475.5481","24,421.0000","186,203.0000","9,475.5481","24,600.0000","202,511.0000","9,475.5481","26,324.0000","218,740.0000","9,475.5481","28,375.0000","237,727.0000","9,475.5481","31,389.0000","257,856.0000","9,475.5481","34,646.0000","279,560.0000",0.1312,0.1312
99,"9,475.5481","125,587.0000","1,581,168.0000","9,475.5481","125,587.0000","1,581,168.0000","9,475.5481","133,797.0000","1,719,649.0000","9,475.5481","144,223.0000","1,857,462.0000","9,475.5481","156,506.0000","2,018,690.0000","9,475.5481","170,523.0000","2,189,618.0000","9,475.5481","185,477.0000","2,373,926.0000",0.0794,0.0794
ALL,"947,500.0577","514,486.0000","3,693,605.0000","947,500.0577","514,486.0000","3,693,605.0000","947,500.0577","533,399.0000","4,017,098.0000","947,500.0577","574,253.0000","4,339,028.0000","947,500.0577","621,965.0000","4,715,656.0000","947,500.0577","676,836.0000","5,114,943.0000","947,500.0577","736,215.0000","5,545,486.0000",0.1393,0.1393
